fy,fx,m,x,y,phi,t
10,1,-2,-18.5461,85.7917,0.008499586933606418,40.55401277542114
10,1,-1,-18.3316,85.3512,0.0070894534440589475,40.420398235321045
10,1,0,-18.1501,84.9706,0.005734727744413903,39.41482996940613
10,1,1,-18.3316,85.3512,0.0070894534440589475,38.20712876319885
10,1,2,-18.5461,85.7917,0.008499586933606418,38.134519815444946
10,1,3,-18.7965,86.2965,0.009978018016168896,38.354652404785156
12,1,-3,-25.4112,99.5314,0.014892989361153993,38.26412057876587
12,1,-2,-25.0273,98.885,0.012819091035982532,38.20097541809082
12,1,-1,-24.6966,98.3175,0.010860365823555268,38.41160750389099
12,1,0,-24.4141,97.8224,0.008994335027505334,39.52833819389343
12,1,1,-24.6966,98.3175,0.010860365823555268,42.43084764480591
12,1,2,-25.0273,98.885,0.012819091035982532,42.10432410240173
12,1,3,-25.4112,99.5314,0.014892989361153993,43.294023513793945
14,1,-3,-32.3742,111.379,0.021031401359418653,40.26559495925903
14,1,-2,-31.8252,110.586,0.01821991339686092,39.55902576446533
14,1,-1,-31.3555,109.894,0.015612603451075426,39.90794587135315
14,1,0,-30.9525,109.288,0.013145321792619933,40.176825284957886
14,1,1,-31.3555,109.894,0.015612603451075426,39.02614974975586
14,1,2,-31.8252,110.586,0.01821991339686092,39.333696365356445
14,1,3,-32.3742,111.379,0.021031401359418653,39.85090208053589
16,1,-3,-39.5311,121.972,0.02842492848236199,40.57313537597656
16,1,-2,-38.7842,121.028,0.024758233074484073,41.517151832580566
16,1,-1,-38.139,120.195,0.021363168226189045,39.09549427032471
16,1,0,-37.5836,119.463,0.01819077756153447,39.79499053955078
16,1,1,-38.139,120.195,0.021363168226189045,40.36577486991882
16,1,2,-38.7842,121.028,0.024758233074484073,41.327600717544556
16,1,3,-39.5311,121.972,0.02842492848236199,46.924967527389526
18,1,-3,-46.7012,131.366,0.03684639234124197,42.02081561088562
18,1,-2,-45.7774,130.333,0.03233266079092018,41.06325960159302
18,1,-1,-44.9526,129.388,0.028097570742184184,40.55329394340515
18,1,0,-44.2302,128.54,0.024133289222794358,40.73936653137207
18,1,1,-44.9526,129.388,0.028097570742184184,41.31285858154297
18,1,2,-45.7774,130.333,0.03233266079092018,41.47819781303406
18,1,3,-46.7012,131.366,0.03684639234124197,41.50919151306152
20,1,-3,-54.013,139.926,0.046952905147594544,43.686805963516235
20,1,-2,-52.7883,138.699,0.04113236415781933,45.62657904624939
20,1,-1,-51.728,137.609,0.03582698029976267,43.861024618148804
20,1,0,-50.8109,136.642,0.030941949772073235,42.370537519454956
20,1,1,-51.728,137.609,0.03582698029976267,43.2500433921814
20,1,2,-52.7883,138.699,0.04113236415781933,42.981218576431274
